s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0006765583659165,-0.0004614939162439,-0.9663536598215868,0.2562003648514028,-0.9663536598215868,0.2562003648514028,-0.0006765583659165,-0.0004614939162439,1.26
-0.000678186101212,-0.0004543762204312,-0.9636660528304556,0.2661327405741223,-0.9636660528304556,0.2661327405741223,-0.000678186101212,-0.0004543762204312,1.2601
-0.0006796701049798,-0.0004472424242414,-0.9608767807484035,0.2760354680138018,-0.9608767807484035,0.2760354680138018,-0.0006796701049798,-0.0004472424242414,1.2602
-0.0006810102377386,-0.0004400953086731,-0.9579861840503916,0.2859075114824895,-0.9579861840503916,0.2859075114824895,-0.0006810102377386,-0.0004400953086731,1.2603
-0.0006822064153782,-0.0004329376550326,-0.95499461369852,0.2957478393089327,-0.95499461369852,0.2957478393089327,-0.0006822064153782,-0.0004329376550326,1.2604
-0.0006832586090303,-0.0004257722439458,-0.9519024310938776,0.3055554239441441,-0.9519024310938776,0.3055554239441441,-0.0006832586090303,-0.0004257722439458,1.2605
-0.0006841668450544,-0.0004186018541693,-0.9487100080273914,0.3153292420662671,-0.9487100080273914,0.3153292420662671,-0.0006841668450544,-0.0004186018541693,1.2606
-0.0006849312049124,-0.0004114292614806,-0.9454177266296884,0.3250682746844299,-0.9454177266296884,0.3250682746844299,-0.0006849312049124,-0.0004114292614806,1.2607
-0.0006855518250504,-0.0004042572376183,-0.9420259793199214,0.3347715072426031,-0.9420259793199214,0.3347715072426031,-0.0006855518250504,-0.0004042572376183,1.2608
-0.0006860288967874,-0.0003970885490655,-0.9385351687534632,0.3444379297223301,-0.9385351687534632,0.3444379297223301,-0.0006860288967874,-0.0003970885490655,1.2609
-0.0006863626661318,-0.0003899259559696,-0.9349457077689788,0.354066536744838,-0.9349457077689788,0.354066536744838,-0.0006863626661318,-0.0003899259559696,1.261
-0.0006865534334992,-0.0003827722114469,-0.9312580193331208,0.3636563276744946,-0.9312580193331208,0.3636563276744946,-0.0006865534334992,-0.0003827722114469,1.2611
-0.0006866015537675,-0.0003756300595368,-0.927472536487173,0.3732063067162665,-0.927472536487173,0.3732063067162665,-0.0006866015537675,-0.0003756300595368,1.2612
-0.0006865074357772,-0.0003685022351037,-0.9235897022889604,0.3827154830198009,-0.9235897022889604,0.3827154830198009,-0.0006865074357772,-0.0003685022351037,1.2613
-0.0006862715421988,-0.000361391462235,-0.9196099697565387,0.3921828707772806,-0.9196099697565387,0.3921828707772806,-0.0006862715421988,-0.000361391462235,1.2614
-0.0006858943892505,-0.000354300453303,-0.9155338018098438,0.4016074893229429,-0.9155338018098438,0.4016074893229429,-0.0006858943892505,-0.000354300453303,1.2615
-0.00068537654641,-0.0003472319078522,-0.9113616712109698,0.4109883632317268,-0.9113616712109698,0.4109883632317268,-0.00068537654641,-0.0003472319078522,1.2616
-0.0006847186360747,-0.0003401885115672,-0.9070940605052338,0.4203245224163329,-0.9070940605052338,0.4203245224163329,-0.0006847186360747,-0.0003401885115672,1.2617
-0.0006839213332338,-0.0003331729352486,-0.9027314619586632,0.4296150022251854,-0.9027314619586632,0.4296150022251854,-0.0006839213332338,-0.0003331729352486,1.2618
-0.0006829853651437,-0.0003261878336543,-0.898274377496921,0.4388588435378424,-0.898274377496921,0.4388588435378424,-0.0006829853651437,-0.0003261878336543,1.2619
-0.0006819115108764,-0.0003192358446298,-0.8937233186416367,0.4480550928615272,-0.8937233186416367,0.4480550928615272,-0.0006819115108764,-0.0003192358446298,1.262
-0.0006807006010027,-0.0003123195879149,-0.8890788064471009,0.4572028024251039,-0.8890788064471009,0.4572028024251039,-0.0006807006010027,-0.0003123195879149,1.2621
