s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
-0.017314821078396,-0.0026938726224978,0.0008072459664542,0.000599546991179,0.3059426624607279,-0.9284719964748605,-0.0007978975330963,-0.0005945494614431,0.0008072459664542,0.000599546991179,-0.017314821078396,-0.0026938726224978,-0.0007978975330963,-0.0005945494614431,0.3059426624607279,-0.9284719964748605,0.3059426624607279,-0.9284719964748605,-0.0007978975330963,-0.0005945494614431,-0.017314821078396,-0.0026938726224978,0.0008072459664542,0.000599546991179,-0.0007978975330963,-0.0005945494614431,0.3059426624607279,-0.9284719964748605,0.0008072459664542,0.000599546991179,-0.017314821078396,-0.0026938726224978,1.26
-0.0173407817045645,-0.0027171804594293,0.0008113745170666,0.000591479409334,0.2931304849278626,-0.932590195125778,-0.0008020088257807,-0.000586575503913,0.0008113745170666,0.000591479409334,-0.0173407817045645,-0.0027171804594293,-0.0008020088257807,-0.000586575503913,0.2931304849278626,-0.932590195125778,0.2931304849278626,-0.932590195125778,-0.0008020088257807,-0.000586575503913,-0.0173407817045645,-0.0027171804594293,0.0008113745170666,0.000591479409334,-0.0008020088257807,-0.000586575503913,0.2931304849278626,-0.932590195125778,0.0008113745170666,0.000591479409334,-0.0173407817045645,-0.0027171804594293,1.2601
-0.0173669206725697,-0.002740016537141,0.0008153998131348,0.0005834160672217,0.2802650746507106,-0.936530955080202,-0.0008060179761586,-0.0005786051955903,0.0008153998131348,0.0005834160672217,-0.0173669206725697,-0.002740016537141,-0.0008060179761586,-0.0005786051955903,0.2802650746507106,-0.936530955080202,0.2802650746507106,-0.936530955080202,-0.0008060179761586,-0.0005786051955903,-0.0173669206725697,-0.002740016537141,0.0008153998131348,0.0005834160672217,-0.0008060179761586,-0.0005786051955903,0.2802650746507106,-0.936530955080202,0.0008153998131348,0.0005834160672217,-0.0173669206725697,-0.002740016537141,1.2602
-0.0173932288922884,-0.0027623824992526,0.0008193229303581,0.0005753584027898,0.2673488968707654,-0.9402936221569196,-0.0008099260354338,-0.0005706399590323,0.0008193229303581,0.0005753584027898,-0.0173932288922884,-0.0027623824992526,-0.0008099260354338,-0.0005706399590323,0.2673488968707654,-0.9402936221569196,0.2673488968707654,-0.9402936221569196,-0.0008099260354338,-0.0005706399590323,-0.0173932288922884,-0.0027623824992526,0.0008193229303581,0.0005753584027898,-0.0008099260354338,-0.0005706399590323,0.2673488968707654,-0.9402936221569196,0.0008193229303581,0.0005753584027898,-0.0173932288922884,-0.0027623824992526,1.2603
-0.0174196974183649,-0.0027842801899642,0.0008231449646155,0.0005673078243554,0.2543844242997369,-0.9438775765576656,-0.0008137340775662,-0.0005626811905111,0.0008231449646155,0.0005673078243554,-0.0174196974183649,-0.0027842801899642,-0.0008137340775662,-0.0005626811905111,0.2543844242997369,-0.9438775765576656,0.2543844242997369,-0.9438775765576656,-0.0008137340775662,-0.0005626811905111,-0.0174196974183649,-0.0027842801899642,0.0008231449646155,0.0005673078243554,-0.0008137340775662,-0.0005626811905111,0.2543844242997369,-0.9438775765576656,0.0008231449646155,0.0005673078243554,-0.0174196974183649,-0.0027842801899642,1.2604
-0.017446317449055,-0.0028057116577819,0.0008268670188558,0.0005592656986143,0.2413741366363452,-0.9472822328519354,-0.0008174431844841,-0.0005547302460665,0.0008268670188558,0.0005592656986143,-0.017446317449055,-0.0028057116577819,-0.0008174431844841,-0.0005547302460665,0.2413741366363452,-0.9472822328519354,0.2413741366363452,-0.9472822328519354,-0.0008174431844841,-0.0005547302460665,-0.017446317449055,-0.0028057116577819,0.0008268670188558,0.0005592656986143,-0.0008174431844841,-0.0005547302460665,0.2413741366363452,-0.9472822328519354,0.0008268670188558,0.0005592656986143,-0.017446317449055,-0.0028057116577819,1.2605
-0.0174730803303697,-0.0028266791523484,0.0008304902126229,0.0005512333614289,0.2283205201036067,-0.950507040071628,-0.000821054448774,-0.0005467884459114,0.0008304902126229,0.0005512333614289,-0.0174730803303697,-0.0028266791523484,-0.000821054448774,-0.0005467884459114,0.2283205201036067,-0.950507040071628,0.2283205201036067,-0.950507040071628,-0.000821054448774,-0.0005467884459114,-0.0174730803303697,-0.0028266791523484,0.0008304902126229,0.0005512333614289,-0.000821054448774,-0.0005467884459114,0.2283205201036067,-0.950507040071628,0.0008304902126229,0.0005512333614289,-0.0174730803303697,-0.0028266791523484,1.2606
-0.0174999775743874,-0.0028471850993092,0.0008340156759995,0.0005432121128785,0.2152260669165353,-0.9535514817902984,-0.0008245689829095,-0.000538857083878,0.0008340156759995,0.0005432121128785,-0.0174999775743874,-0.0028471850993092,-0.0008245689829095,-0.000538857083878,0.2152260669165353,-0.9535514817902984,0.2152260669165353,-0.9535514817902984,-0.0008245689829095,-0.000538857083878,-0.0174999775743874,-0.0028471850993092,0.0008340156759995,0.0005432121128785,-0.0008245689829095,-0.000538857083878,0.2152260669165353,-0.9535514817902984,0.0008340156759995,0.0005432121128785,-0.0174999775743874,-0.0028471850993092,1.2607
-0.0175270008503667,-0.0028672321145833,0.0008374445502952,0.0005352032191925,0.2020932748958559,-0.9564150762942538,-0.0008279879024071,-0.000530937412945,0.0008374445502952,0.0005352032191925,-0.0175270008503667,-0.0028672321145833,-0.0008279879024071,-0.000530937412945,0.2020932748958559,-0.9564150762942538,0.2020932748958559,-0.9564150762942538,-0.0008279879024071,-0.000530937412945,-0.0175270008503667,-0.0028672321145833,0.0008374445502952,0.0005352032191925,-0.0008279879024071,-0.000530937412945,0.2020932748958559,-0.9564150762942538,0.0008374445502952,0.0005352032191925,-0.0175270008503667,-0.0028672321145833,1.2608
-0.0175541419952556,-0.0028868229900655,0.0008407779859794,0.0005272079119106,0.188924646867176,-0.959097376311727,-0.0008313123368643,-0.0005230306563565,0.0008407779859794,0.0005272079119106,-0.0175541419952556,-0.0028868229900655,-0.0008313123368643,-0.0005230306563565,0.188924646867176,-0.959097376311727,0.188924646867176,-0.959097376311727,-0.0008313123368643,-0.0005230306563565,-0.0175541419952556,-0.0028868229900655,0.0008407779859794,0.0005272079119106,-0.0008313123368643,-0.0005230306563565,0.188924646867176,-0.959097376311727,0.0008407779859794,0.0005272079119106,-0.0175541419952556,-0.0028868229900655,1.2609
