s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
0.0159071790870007,-0.0154977772133936,-0.2092616836597488,-0.0517243868362584,-0.2092616836597488,-0.0517243868362584,0.0159071790870007,-0.0154977772133936,1.5
0.0158128544139521,-0.0156522535854163,-0.2101862563561802,-0.0504121394690303,-0.2101862563561802,-0.0504121394690303,0.0158128544139521,-0.0156522535854163,1.5001
0.0157171661832587,-0.0158060817501729,-0.2111040290995165,-0.049089069025325,-0.2111040290995165,-0.049089069025325,0.0157171661832587,-0.0158060817501729,1.5002
0.0156201563827262,-0.0159592170864375,-0.2120148963554697,-0.0477551917629595,-0.2120148963554697,-0.0477551917629595,0.0156201563827262,-0.0159592170864375,1.5003
0.0155218732041236,-0.0161116235399829,-0.2129187522684298,-0.0464105243136103,-0.2129187522684298,-0.0464105243136103,0.0155218732041236,-0.0161116235399829,1.5004
0.0154223692752536,-0.0162632746223515,-0.2138154905532408,-0.0450550837118349,-0.2138154905532408,-0.0450550837118349,0.0154223692752536,-0.0162632746223515,1.5005
0.0153216997379645,-0.0164141540502764,-0.2147050043939095,-0.043688887445864,-0.2147050043939095,-0.043688887445864,0.0153216997379645,-0.0164141540502764,1.5006
0.015219920244131,-0.016564256003709,-0.2155871863531937,-0.0423119535285287,-0.2155871863531937,-0.0423119535285287,0.015219920244131,-0.016564256003709,1.5007
0.0151170849443658,-0.016713584994943,-0.2164619282967921,-0.0409243005856695,-0.2164619282967921,-0.0409243005856695,0.0151170849443658,-0.016713584994943,1.5008
0.0150132445441071,-0.0168621553555118,-0.2173291213352025,-0.0395259479590048,-0.2173291213352025,-0.0395259479590048,0.0150132445441071,-0.0168621553555118,1.5009
0.01490844449884,-0.0170099903618965,-0.2181886557856397,-0.0381169158196996,-0.2181886557856397,-0.0381169158196996,0.01490844449884,-0.0170099903618965,1.501
0.0148027234146261,-0.0171571210343052,-0.2190404211556839,-0.036697225288613,-0.2190404211556839,-0.036697225288613,0.0148027234146261,-0.0171571210343052,1.5011
0.0146961117122177,-0.0173035846546556,-0.2198843061495314,-0.0352668985588612,-0.2198843061495314,-0.0352668985588612,0.0146961117122177,-0.0173035846546556,1.5012
0.0145886306029433,-0.0174494230602515,-0.220720198696779,-0.03382595901638,-0.220720198696779,-0.03382595901638,0.0145886306029433,-0.0174494230602515,1.5013
0.0144802914126892,-0.0175946807774127,-0.2215479860029642,-0.0323744313541955,-0.2215479860029642,-0.0323744313541955,0.0144802914126892,-0.0175946807774127,1.5014
0.0143710952772787,-0.0177394030651982,-0.2223675546201315,-0.0309123416763671,-0.2223675546201315,-0.0309123416763671,0.0143710952772787,-0.0177394030651982,1.5015
0.0142610332186263,-0.0178836339420451,-0.2231787905351485,-0.0294397175879506,-0.2231787905351485,-0.0294397175879506,0.0142610332186263,-0.0178836339420451,1.5016
0.0141500865968981,-0.0180274142686725,-0.2239815792726234,-0.0279565882679487,-0.2239815792726234,-0.0279565882679487,0.0141500865968981,-0.0180274142686725,1.5017
0.014038227919963,-0.0181707799579116,-0.2247758060089417,-0.026462984522722,-0.2247758060089417,-0.026462984522722,0.014038227919963,-0.0181707799579116,1.5018
0.0139254219783592,-0.0183137603771925,-0.2255613556933942,-0.024958938818247,-0.2255613556933942,-0.024958938818247,0.0139254219783592,-0.0183137603771925,1.5019
0.0138116272620599,-0.0184563770018905,-0.2263381131722661,-0.0234444852902172,-0.2263381131722661,-0.0234444852902172,0.0138116272620599,-0.0184563770018905,1.502
0.0136967976050492,-0.0185986423681822,-0.2271059633115373,-0.0219196597319362,-0.2271059633115373,-0.0219196597319362,0.0136967976050492,-0.0185986423681822,1.5021
0.0135808839957362,-0.0187405593625936,-0.2278647911139514,-0.0203844995608041,-0.2278647911139514,-0.0203844995608041,0.0135808839957362,-0.0187405593625936,1.5022
0.013463836485208,-0.0188821208730449,-0.2286144818265816,-0.0188390437647667,-0.2286144818265816,-0.0188390437647667,0.013463836485208,-0.0188821208730449,1.5023
0.0133456061221907,-0.0190233098123382,-0.2293549210351268,-0.0172833328312061,-0.2293549210351268,-0.0172833328312061,0.0133456061221907,-0.0190233098123382,1.5024
0.0132261468429301,-0.0191640995114761,-0.230085994741967,-0.0157174086609654,-0.230085994741967,-0.0157174086609654,0.0132261468429301,-0.0191640995114761,1.5025
0.0131054172461467,-0.0193044544664101,-0.2308075894253956,-0.0141413144711876,-0.2308075894253956,-0.0141413144711876,0.0131054172461467,-0.0193044544664101,1.5026
0.0129833821879802,-0.0194443314088273,-0.2315195920783056,-0.0125550946905627,-0.2315195920783056,-0.0125550946905627,0.0129833821879802,-0.0194443314088273,1.5027
0.0128600141386756,-0.0195836806597647,-0.2322218902254477,-0.0109587948513443,-0.2322218902254477,-0.0109587948513443,0.0128600141386756,-0.0195836806597647,1.5028
0.0127352942519443,-0.0197224477145842,-0.2329143719188016,-0.0093524614821777,-0.2329143719188016,-0.0093524614821777,0.0127352942519443,-0.0197224477145842,1.5029
0.0126092131087467,-0.0198605749996004,-0.23359692571201,-0.0077361420058757,-0.23359692571201,-0.0077361420058757,0.0126092131087467,-0.0198605749996004,1.503
0.0124817711095403,-0.019998003734433,-0.2342694406150604,-0.0061098846463434,-0.2342694406150604,-0.0061098846463434,0.0124817711095403,-0.019998003734433,1.5031
0.0123529785020552,-0.020134675830788,-0.2349318060314668,-0.0044737383479392,-0.2349318060314668,-0.0044737383479392,0.0123529785020552,-0.020134675830788,1.5032
0.0122228550452513,-0.0202705357572395,-0.2355839116807264,-0.00282775271058,-0.2355839116807264,-0.00282775271058,0.0122228550452513,-0.0202705357572395,1.5033
0.0120914293235253,-0.0204055323011227,-0.2362256475093451,-0.001171977943022,-0.2362256475093451,-0.001171977943022,0.0120914293235253,-0.0204055323011227,1.5034
0.0119587377380857,-0.0205396201630167,-0.2368569035941851,0.0004935351637362,-0.2368569035941851,0.0004935351637362,0.0119587377380857,-0.0205396201630167,1.5035
0.0118248232141753,-0.0206727613254097,-0.2374775700422055,0.0021687352420787,-0.2374775700422055,0.0021687352420787,0.0118248232141753,-0.0206727613254097,1.5036
0.0116897336731614,-0.0208049261461411,-0.2380875368906212,0.0038535703318859,-0.2380875368906212,0.0038535703318859,0.0116897336731614,-0.0208049261461411,1.5037
0.0115535203269389,-0.0209360941373248,-0.2386866940117124,0.0055479878438976,-0.2386866940117124,0.0055479878438976,0.0115535203269389,-0.0209360941373248,1.5038
0.0114162358583312,-0.0210662544023237,-0.2392749310260856,0.0072519345033762,-0.2392749310260856,0.0072519345033762,0.0114162358583312,-0.0210662544023237,1.5039
0.0112779325551997,-0.0211954057161526,-0.2398521372280703,0.0089653562763422,-0.2398521372280703,0.0089653562763422,0.0112779325551997,-0.0211954057161526,1.504
0.0111386604671818,-0.0213235562477469,-0.2404182015263342,0.0106881982808204,-0.2404182015263342,0.0106881982808204,0.0111386604671818,-0.0213235562477469,1.5041
0.0109984620425031,-0.0214507229501247,-0.2409730124141406,0.0124204047106644,-0.2409730124141406,0.0124204047106644,0.0109984620425031,-0.0214507229501247,1.5042
0.0108573885826521,-0.0215769305430736,-0.2415164578882024,0.014161918606059,-0.2415164578882024,0.014161918606059,0.0108573885826521,-0.0215769305430736,1.5043
0.0107154627522552,-0.0217022104237813,-0.2420484255660776,0.015912681983019,-0.2420484255660776,0.015912681983019,0.0107154627522552,-0.0217022104237813,1.5044
0.0105727135625243,-0.0218265990531647,-0.2425688025878567,0.0176726354786121,-0.2425688025878567,0.0176726354786121,0.0105727135625243,-0.0218265990531647,1.5045
0.010429157500187,-0.0219501363717463,-0.2430774757163828,0.0194417183633632,-0.2430774757163828,0.0194417183633632,0.010429157500187,-0.0219501363717463,1.5046
0.0102848016518032,-0.0220728640074574,-0.2435743313860449,0.0212198684162051,-0.2435743313860449,0.0212198684162051,0.0102848016518032,-0.0220728640074574,1.5047
0.0101396435663045,-0.022194823440921,-0.2440592557811862,0.0230070218350986,-0.2440592557811862,0.0230070218350986,0.0101396435663045,-0.022194823440921,1.5048
