s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
0.0149679887329014,-0.0032863651143436,0.6603201864197087,0.1134113872961712,0.660429064317994,0.1126230936464212,0.6598287693000638,0.1128981968854098,0.142024596291302,0.0513909539607873,-0.1261259525168503,-0.0502874093894179,0.6598287693000638,0.1128981968854098,-0.1261259525168503,-0.0502874093894179,0.142024596291302,0.0513909539607873,1.26
0.0139477140292319,-0.0062914087630283,0.6701528888214331,0.0115172821169025,0.6701393061447637,0.0107231386484537,0.6695971554005825,0.0110768337125788,0.1495086839316865,0.0217539046190274,-0.1337699023832652,-0.0239091574140398,0.6695971554005825,0.0110768337125788,-0.1337699023832652,-0.0239091574140398,0.1495086839316865,0.0217539046190274,1.2601
0.0123604555568285,-0.009028967348034,0.6643574297548915,-0.0907266567032759,0.6642224569298476,-0.0915077511586919,0.6637444186677286,-0.0910864083011983,0.1508803718375334,-0.0088057591650568,-0.1359300010166635,0.0034766624975006,0.6637444186677286,-0.0910864083011983,-0.1359300010166635,0.0034766624975006,0.1508803718375334,-0.0088057591650568,1.2602
0.010270608865556,-0.0113937288585201,0.6430552064108235,-0.1909376651382743,0.6428027810401261,-0.1916873620391258,0.6423931311963612,-0.1912084764250297,0.1460725391974832,-0.0390309473283086,-0.1325200292381174,0.0307368266012011,0.6423931311963612,-0.1912084764250297,-0.1325200292381174,0.0307368266012011,0.1460725391974832,-0.0390309473283086,1.2603
0.0077613337421492,-0.0132943470525364,0.6067288079009865,-0.2867781676166028,0.6063655708587145,-0.2874790782281244,0.6060272509321218,-0.2869512839380601,0.1352774634834331,-0.0676753232450483,-0.1236855597065814,0.0567468836926093,0.6060272509321218,-0.2869512839380601,-0.1236855597065814,0.0567468836926093,0.1352774634834331,-0.0676753232450483,1.2604
0.0049331864687217,-0.0146567529958361,0.556210632713212,-0.3760095950653774,0.5557457197034653,-0.3766456642275452,0.5554817212538155,-0.3760758165929047,0.1189396825048934,-0.0935575676279812,-0.1097966227005287,0.0804374994720427,0.5554817212538155,-0.3760758165929047,-0.1097966227005287,0.0804374994720427,0.1189396825048934,-0.0935575676279812,1.2605
0.0019006146215972,-0.0154292252922542,0.4926647408202976,-0.4565439790646676,0.4921095259621673,-0.4571008225507479,0.4919241844850168,-0.4564950607759315,0.0977368718743821,-0.1156134684761879,-0.0914314760345937,0.1008385811618676,0.4919241844850168,-0.4564950607759315,-0.0914314760345937,0.1008385811618676,0.0977368718743821,-0.1156134684761879,1.2606
-0.0012147485288842,-0.0155852010606986,0.4175609205156896,-0.5264935068806582,0.4169287162464314,-0.5269586985331053,0.4168277198066193,-0.5263239608867855,0.0725490880622655,-0.1329422176006919,-0.0693516073592114,0.1171194019020081,0.4168277198066193,-0.5263239608867855,-0.0693516073592114,0.1171194019020081,0.0725490880622655,-0.1329422176006919,1.2607
-0.0042898992359103,-0.0151223158086671,0.3326401926953196,-0.5842154530485548,0.331945923940026,-0.5845787563630971,0.331935605403446,-0.5839235617379139,0.0444190299561856,-0.1448437612898147,-0.0444688366652499,0.1286225843497328,0.331935605403446,-0.5839235617379139,-0.0444688366652499,0.1286225843497328,0.0444190299561856,-0.1448437612898147,1.2608
-0.0072035564817977,-0.0140614635350818,0.2398739793424136,-0.6283500204520399,0.2391338422238459,-0.6286035741974728,0.2392207094158688,-0.6279383706197241,0.0145066032104952,-0.1508463565360186,-0.0178062938174449,0.1348902350300799,0.2392207094158688,-0.6279383706197241,-0.0178062938174449,0.1348902350300799,0.0145066032104952,-0.1508463565360186,1.2609
-0.0098400579122439,-0.0124476673832397,0.141419389336122,-0.6578516198609742,0.1406504897550189,-0.6579900809905874,0.1408407315002741,-0.6573278482605812,-0.0159604248807445,-0.1507245947113525,0.0095447137417265,0.1356813856797353,0.1408407315002741,-0.6573278482605812,0.0095447137417265,0.1356813856797353,-0.0159604248807445,-0.1507245947113525,1.261
