wavelength (nm),refractive index
2.14936,3.449427492
2.15432,3.449280354
2.15928,3.449134312
2.16426,3.448988859
2.16925,3.448843548
2.17425,3.448699554
2.17926,3.448556187
2.18429,3.448413205
2.18932,3.448271192
2.19437,3.448129654
2.19943,3.447988878
2.2045,3.447848999
2.20958,3.447709516
2.21467,3.447570609
2.21978,3.447432637
2.2249,3.447295079
2.23003,3.447158345
2.23517,3.447022124
2.24032,3.446886612
2.24548,3.446751827
2.25066,3.446617471
2.25585,3.446483967
2.26105,3.446351223
2.26626,3.446218922
2.27149,3.446087344
2.27672,3.445956259
2.28197,3.445825769
2.28723,3.445695974
2.2925,3.445566678
2.29779,3.445438322
2.30308,3.445310261
2.30839,3.445182895
2.31372,3.445056168
2.31905,3.444930062
2.32439,3.444804705
2.32975,3.444679641
2.33512,3.444555193
2.34051,3.444431449
2.3459,3.444308174
2.35131,3.444185789
2.35673,3.444063562
2.36216,3.443942249
2.36761,3.443821479
2.37307,3.443701052
2.37854,3.44358148
2.38402,3.443462446
2.38952,3.443343853
2.39502,3.443225878
2.40055,3.443108252
2.40608,3.442991567
2.41163,3.442875223
2.41718,3.44275938
2.42276,3.442644068
2.42834,3.442529429
2.43394,3.442415288
2.43955,3.442301717
2.44517,3.442188571
2.45081,3.442076185
2.45646,3.441964225
2.46212,3.44185261
2.4678,3.4417417
2.47349,3.441631279
2.47919,3.441521478
2.48491,3.441412074
2.49063,3.441303277
2.49638,3.441194761
2.50213,3.441086957
2.5079,3.440979635
2.51368,3.440872852
2.51947,3.440766606
2.52528,3.440660888
2.5311,3.440555378
2.53694,3.440450567
2.54279,3.440346438
2.54865,3.440242585
2.55452,3.440139026
2.56041,3.440036424
2.56631,3.439934021
2.57223,3.439832107
2.57816,3.439730665
2.5841,3.439629755
2.59006,3.439529376
2.59603,3.439429444
2.60202,3.439329964
2.60801,3.439230945
2.61403,3.439132447
2.62005,3.439034268
2.62609,3.438936627
2.63215,3.438839329
2.63821,3.438742734
2.64429,3.438646543
2.65039,3.438550798
2.6565,3.438455264
2.66262,3.438360384
2.66876,3.438265872
2.67491,3.438172213
2.68108,3.438078523
2.68726,3.437985143
2.69346,3.437892467
2.69967,3.437800447
2.70589,3.437708532
2.71213,3.43761716
2.71838,3.437526296
2.72464,3.437435805
2.73093,3.437345721
2.73722,3.437255868
2.74353,3.437166508
2.74986,3.437077791
2.75619,3.436989352
2.76255,3.436901549
2.76892,3.436813905
2.7753,3.436726546
2.7817,3.436639869
2.78811,3.436553571
2.79454,3.436467546
2.80098,3.436382007
2.80744,3.436297016
2.81391,3.436212113
2.82039,3.436127819
2.8269,3.436043868
2.83341,3.43596025
2.83994,3.435877274
2.84649,3.43579426
2.85305,3.435712068
2.85963,3.435629911
2.86622,3.435548413
2.87283,3.435467314
2.87945,3.435386242
2.88609,3.43530584
2.89274,3.435225804
2.89941,3.435146019
2.9061,3.435066784
2.91279,3.434987654
2.91951,3.43490917
2.92624,3.434830806
2.93299,3.434753144
2.93975,3.434675604
2.94652,3.434598209
2.95332,3.434521661
2.96012,3.434445385
2.96695,3.434369262
2.97379,3.434293494
2.98064,3.43421811
2.98751,3.434143215
2.9944,3.434068598
3.0013,3.433994166
