s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0168532680631317,-0.0021170196660903,-0.9242799984653836,-0.3671301230629827,-0.9242799984653836,-0.3671301230629827,-0.0168532680631317,-0.0021170196660903,1.2624
-0.0170037027703636,-0.0021364658103078,-0.94441073221749,-0.3117209026238453,-0.94441073221749,-0.3117209026238453,-0.0170037027703636,-0.0021364658103078,1.2625
-0.0171543835053685,-0.0021430476406811,-0.9612204898490324,-0.2552256993158437,-0.9612204898490324,-0.2552256993158437,-0.0171543835053685,-0.0021430476406811,1.2626
-0.0173040982153264,-0.0021368279531543,-0.9746519096362336,-0.1978434587296961,-0.9746519096362336,-0.1978434587296961,-0.0173040982153264,-0.0021368279531543,1.2627
-0.0174516486680473,-0.0021179910685794,-0.984659538094806,-0.1397760695114125,-0.984659538094806,-0.1397760695114125,-0.0174516486680473,-0.0021179910685794,1.2628
-0.0175958631060676,-0.0020868406323732,-0.9912099744401212,-0.0812276515518457,-0.9912099744401212,-0.0812276515518457,-0.0175958631060676,-0.0020868406323732,1.2629
-0.0177356085859264,-0.0020437960806696,-0.9942819726121088,-0.0224038375435668,-0.9942819726121088,-0.0224038375435668,-0.0177356085859264,-0.0020437960806696,1.263
-0.0178698028594709,-0.0019893878016631,-0.9938665005944672,0.0364889494826877,-0.9938665005944672,0.0364889494826877,-0.0178698028594709,-0.0019893878016631,1.2631
-0.0179974256582741,-0.0019242510502341,-0.9899667569088664,0.0952442201050868,-0.9899667569088664,0.0952442201050868,-0.0179974256582741,-0.0019242510502341,1.2632
-0.0181175292496473,-0.0018491186973202,-0.9825981443587728,0.1536561414874169,-0.9825981443587728,0.1536561414874169,-0.0181175292496473,-0.0018491186973202,1.2633
-0.0182292481409116,-0.0017648128799041,-0.971788201261993,0.2115202567478865,-0.971788201261993,0.2115202567478865,-0.0182292481409116,-0.0017648128799041,1.2634
-0.0183318078194194,-0.0016722356848903,-0.9575764904085592,0.2686341984382899,-0.9575764904085592,0.2686341984382899,-0.0183318078194194,-0.0016722356848903,1.2635
-0.0184245324282738,-0.0015723589517056,-0.9400144462815122,0.3247983934968191,-0.9400144462815122,0.3247983934968191,-0.0184245324282738,-0.0015723589517056,1.2636
-0.0185068512911958,-0.0014662133105222,-0.9191651812804864,0.3798167572998129,-0.9191651812804864,0.3798167572998129,-0.0185068512911958,-0.0014662133105222,1.2637
-0.018578304208934,-0.0013548766353154,-0.8951032513719333,0.433497374605192,-0.8951032513719333,0.433497374605192,-0.018578304208934,-0.0013548766353154,1.2638
-0.0186385454720794,-0.0012394619694231,-0.8679143825494665,0.4856531647695312,-0.8679143825494665,0.4856531647695312,-0.0186385454720794,-0.0012394619694231,1.2639
-0.0186873465456497,-0.0011211051493692,-0.8376951585943118,0.5361025292502641,-0.8376951585943118,0.5361025292502641,-0.0186873465456497,-0.0011211051493692,1.264
-0.0187245973968165,-0.001000952216644,-0.8045526716919712,0.5846699790457274,-0.8045526716919712,0.5846699790457274,-0.0187245973968165,-0.001000952216644,1.2641
-0.0187503064563159,-0.000880146793068,-0.7686041369793549,0.6311867400210525,-0.7686041369793549,0.6311867400210525,-0.0187503064563159,-0.000880146793068,1.2642
-0.0187645992179819,-0.0007598175619176,-0.729976472422545,0.6754913340030059,-0.729976472422545,0.6754913340030059,-0.0187645992179819,-0.0007598175619176,1.2643
-0.0187677154982016,-0.0006410660024028,-0.6888058455754693,0.7174301337386194,-0.6888058455754693,0.7174301337386194,-0.0187677154982016,-0.0006410660024028,1.2644
-0.0187600053938342,-0.0005249545291348,-0.6452371887732941,0.7568578898756213,-0.6452371887732941,0.7568578898756213,-0.0187600053938342,-0.0005249545291348,1.2645
-0.0187419239898084,-0.0004124951502635,-0.5994236845865037,0.7936382280136217,-0.5994236845865037,0.7936382280136217,-0.0187419239898084,-0.0004124951502635,1.2646
