s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0197571786285974,0.000305001672775,-0.4923334150305903,-0.8573201373908197,-0.4923334150305903,-0.8573201373908197,-0.0197571786285974,0.000305001672775,1.5
-0.0197312125198224,0.0003283243287609,-0.5273546730119422,-0.8362407464346112,-0.5273546730119422,-0.8362407464346112,-0.0197312125198224,0.0003283243287609,1.5001
-0.0197030456367099,0.0003491857149515,-0.561469992369745,-0.8137349367123501,-0.561469992369745,-0.8137349367123501,-0.0197030456367099,0.0003491857149515,1.5002
-0.0196728991768161,0.0003673950420963,-0.5946214653297707,-0.7898417573580133,-0.5946214653297707,-0.7898417573580133,-0.0196728991768161,0.0003673950420963,1.5003
-0.019641009670061,0.000382779979746,-0.626752870439811,-0.7646025996345707,-0.626752870439811,-0.7646025996345707,-0.019641009670061,0.000382779979746,1.5004
-0.019607627490588,0.0003951878352055,-0.6578097669243779,-0.7380611241495237,-0.6578097669243779,-0.7380611241495237,-0.019607627490588,0.0003951878352055,1.5005
-0.0195730152805155,0.0004044866146362,-0.6877395858585144,-0.7102631841594289,-0.6877395858585144,-0.7102631841594289,-0.0195730152805155,0.0004044866146362,1.5006
-0.0195374462946939,0.0004105659598167,-0.7164917180914118,-0.6812567453388392,-0.7164917180914118,-0.6812567453388392,-0.0195374462946939,0.0004105659598167,1.5007
-0.0195012026760899,0.0004133379548388,-0.7440175987184463,-0.6510918019841415,-0.7440175987184463,-0.6510918019841415,-0.0195012026760899,0.0004133379548388,1.5008
-0.0194645736721186,0.0004127377977021,-0.7702707879817098,-0.6198202898661934,-0.7702707879817098,-0.6198202898661934,-0.0194645736721186,0.0004127377977021,1.5009
-0.0194278538023486,0.0004087243325953,-0.7952070484635215,-0.5874959958704177,-0.7952070484635215,-0.5874959958704177,-0.0194278538023486,0.0004087243325953,1.501
-0.0193913409880329,0.0004012804394348,-0.8187844184445192,-0.5541744645818564,-0.8187844184445192,-0.5541744645818564,-0.0193913409880329,0.0004012804394348,1.5011
-0.0193553346627336,0.0003904132775556,-0.8409632813156674,-0.5199129019785607,-0.8409632813156674,-0.5199129019785607,-0.0193553346627336,0.0003904132775556,1.5012
-0.019320133821095,0.0003761543855438,-0.8617064308618144,-0.484770076381342,-0.8617064308618144,-0.484770076381342,-0.019320133821095,0.0003761543855438,1.5013
-0.0192860351777673,0.0003585596249872,-0.8809791325204326,-0.4488062168967854,-0.8809791325204326,-0.4488062168967854,-0.0192860351777673,0.0003585596249872,1.5014
-0.0192533311805921,0.0003377089870416,-0.8987491801268175,-0.4120829093866149,-0.8987491801268175,-0.4120829093866149,-0.0192533311805921,0.0003377089870416,1.5015
-0.0192223081563753,0.0003137062436585,-0.914986948507739,-0.3746629903471483,-0.914986948507739,-0.3746629903471483,-0.0192223081563753,0.0003137062436585,1.5016
-0.0191932444401613,0.0002866784565767,-0.9296654415221922,-0.336610438711652,-0.9296654415221922,-0.336610438711652,-0.0191932444401613,0.0002866784565767,1.5017
-0.0191664085526806,0.0002567753427454,-0.9427603355288192,-0.2979902657948977,-0.9427603355288192,-0.2979902657948977,-0.0191664085526806,0.0002567753427454,1.5018
-0.0191420574290095,0.0002241685001146,-0.954250018338826,-0.2588684036648752,-0.954250018338826,-0.2588684036648752,-0.0191420574290095,0.0002241685001146,1.5019
-0.0191204347090756,0.0001890504979597,-0.964115623399373,-0.2193115919992848,-0.964115623399373,-0.2193115919992848,-0.0191204347090756,0.0001890504979597,1.502
-0.0191017691000983,0.0001516338366983,-0.9723410594117496,-0.1793872637755342,-0.9723410594117496,-0.1793872637755342,-0.0191017691000983,0.0001516338366983,1.5021
-0.0190862728210644,0.0001121497829321,-0.978913034986568,-0.1391634298023129,-0.978913034986568,-0.1391634298023129,-0.0190862728210644,0.0001121497829321,1.5022
-0.0190741401383128,7.084708616855609e-05,-0.9838210786423416,-0.0987085624720222,-0.9838210786423416,-0.0987085624720222,-0.0190741401383128,7.084708616855609e-05,1.5023
-0.0190655460012466,2.7990584368856908e-05,-0.987057553911656,-0.0580914788290531,-0.987057553911656,-0.0580914788290531,-0.0190655460012466,2.7990584368856908e-05,1.5024
-0.0190606447864254,-1.614029382662404e-05,-0.988617669603892,-0.017381223187943,-0.988617669603892,-0.017381223187943,-0.0190606447864254,-1.614029382662404e-05,1.5025
-0.0190595691647489,-6.125312232162267e-05,-0.9884994852021094,0.0233530505013554,-0.9884994852021094,0.0233530505013554,-0.0190595691647489,-6.125312232162267e-05,1.5026
-0.0190624290771947,-0.0001070441556903,-0.9867039113899552,0.0640421963285985,-0.9867039113899552,0.0640421963285985,-0.0190624290771947,-0.0001070441556903,1.5027
-0.0190693107799996,-0.0001532000796393,-0.9832347057170976,0.1046171939021118,-0.9832347057170976,0.1046171939021118,-0.0190693107799996,-0.0001532000796393,1.5028
-0.0190802762974805,-0.0001993998466549,-0.9780984634123984,0.1450092656547174,-0.9780984634123984,0.1450092656547174,-0.0190802762974805,-0.0001993998466549,1.5029
-0.0190953625970078,-0.0002453165391238,-0.971304603367296,0.1851499933099197,-0.971304603367296,0.1851499933099197,-0.0190953625970078,-0.0002453165391238,1.503
-0.0191145811137762,-0.000290619291834,-0.9628653493369684,0.2249714337282329,-0.9628653493369684,0.2249714337282329,-0.0191145811137762,-0.000290619291834,1.5031
-0.0191379176766578,-0.0003349752666464,-0.9527957063498332,0.2644062339670873,-0.9527957063498332,0.2644062339670873,-0.0191379176766578,-0.0003349752666464,1.5032
-0.0191653320851598,-0.0003780516157889,-0.941113432448052,0.3033877448527758,-0.941113432448052,0.3033877448527758,-0.0191653320851598,-0.0003780516157889,1.5033
-0.0191967581086735,-0.000419517475604,-0.9278390057645556,0.3418501333883607,-0.9278390057645556,0.3418501333883607,-0.0191967581086735,-0.000419517475604,1.5034
-0.019232103824876,-0.0004590459740931,-0.912995586965645,0.3797284937422172,-0.912995586965645,0.3797284937422172,-0.019232103824876,-0.0004590459740931,1.5035
-0.0192712516674327,-0.0004963161961027,-0.896608977251797,0.4169589562215777,-0.896608977251797,0.4169589562215777,-0.0192712516674327,-0.0004963161961027,1.5036
-0.0193140590039612,-0.000531015152749,-0.8787075718561688,0.4534787945791146,-0.8787075718561688,0.4534787945791146,-0.0193140590039612,-0.000531015152749,1.5037
-0.0193603585843488,-0.0005628396970468,-0.8593223092531925,0.4892265310520945,-0.8593223092531925,0.4892265310520945,-0.0193603585843488,-0.0005628396970468,1.5038
-0.0194099594325561,-0.0005914984158746,-0.8384866160485889,0.524142039318194,-0.8384866160485889,0.524142039318194,-0.0194099594325561,-0.0005914984158746,1.5039
-0.0194626475794658,-0.0006167134441335,-0.8162363477360207,0.5581666447959212,-0.8162363477360207,0.5581666447959212,-0.0194626475794658,-0.0006167134441335,1.504
