s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
-0.0037040641264085,-0.0176765947798726,-0.0039921709961121,-0.0270164592054931,-0.5479213761812094,0.3381701207717794,0.3710152862238915,0.516911614930395,-0.0039921709961121,-0.0270164592054931,-0.0037040641264085,-0.0176765947798726,0.3710152862238915,0.516911614930395,-0.5479213761812094,0.3381701207717794,-0.5479213761812094,0.3381701207717794,0.3710152862238915,0.516911614930395,-0.0037040641264085,-0.0176765947798726,-0.0039921709961121,-0.0270164592054931,0.3710152862238915,0.516911614930395,-0.5479213761812094,0.3381701207717794,-0.0039921709961121,-0.0270164592054931,-0.0037040641264085,-0.0176765947798726,1.5
-0.0057546705412836,-0.0169957137575787,-0.0071879391269825,-0.0262294909784836,-0.5174462571657512,0.3840927263539614,0.4134302738481588,0.4837260837201191,-0.0071879391269825,-0.0262294909784836,-0.0057546705412836,-0.0169957137575787,0.4134302738481588,0.4837260837201191,-0.5174462571657512,0.3840927263539614,-0.5174462571657512,0.3840927263539614,0.4134302738481588,0.4837260837201191,-0.0057546705412836,-0.0169957137575787,-0.0071879391269825,-0.0262294909784836,0.4134302738481588,0.4837260837201191,-0.5174462571657512,0.3840927263539614,-0.0071879391269825,-0.0262294909784836,-0.0057546705412836,-0.0169957137575787,1.5001
-0.0076819366504004,-0.0160751409811012,-0.0102424373433796,-0.0250666976979179,-0.4830979829583073,0.4272889401198341,0.452905028352356,0.4470974030009979,-0.0102424373433796,-0.0250666976979179,-0.0076819366504004,-0.0160751409811012,0.452905028352356,0.4470974030009979,-0.4830979829583073,0.4272889401198341,-0.4830979829583073,0.4272889401198341,0.452905028352356,0.4470974030009979,-0.0076819366504004,-0.0160751409811012,-0.0102424373433796,-0.0250666976979179,0.452905028352356,0.4470974030009979,-0.4830979829583073,0.4272889401198341,-0.0102424373433796,-0.0250666976979179,-0.0076819366504004,-0.0160751409811012,1.5002
-0.0094579316935828,-0.0149367965403373,-0.013111841792087,-0.0235530387615893,-0.4451181061199223,0.4674260612377795,0.4891649867068775,0.4072811447478689,-0.013111841792087,-0.0235530387615893,-0.0094579316935828,-0.0149367965403373,0.4891649867068775,0.4072811447478689,-0.4451181061199223,0.4674260612377795,-0.4451181061199223,0.4674260612377795,0.4891649867068775,0.4072811447478689,-0.0094579316935828,-0.0149367965403373,-0.013111841792087,-0.0235530387615893,0.4891649867068775,0.4072811447478689,-0.4451181061199223,0.4674260612377795,-0.013111841792087,-0.0235530387615893,-0.0094579316935828,-0.0149367965403373,1.5003
-0.0110587822702188,-0.0136058771549309,-0.0157569253945095,-0.0217185300654268,-0.4037781405389176,0.5041924491132238,0.5219567895947816,0.3645540035307137,-0.0157569253945095,-0.0217185300654268,-0.0110587822702188,-0.0136058771549309,0.5219567895947816,0.3645540035307137,-0.4037781405389176,0.5041924491132238,-0.4037781405389176,0.5041924491132238,0.5219567895947816,0.3645540035307137,-0.0110587822702188,-0.0136058771549309,-0.0157569253945095,-0.0217185300654268,0.5219567895947816,0.3645540035307137,-0.4037781405389176,0.5041924491132238,-0.0157569253945095,-0.0217185300654268,-0.0110587822702188,-0.0136058771549309,1.5004
-0.012465079698501,-0.0121100261551384,-0.0181436387200114,-0.0195973104542297,-0.3593778027714446,0.5373005522420332,0.5510497442109715,0.3192122842349397,-0.0181436387200114,-0.0195973104542297,-0.012465079698501,-0.0121100261551384,0.5510497442109715,0.3192122842349397,-0.3593778027714446,0.5373005522420332,-0.3593778027714446,0.5373005522420332,0.5510497442109715,0.3192122842349397,-0.012465079698501,-0.0121100261551384,-0.0181436387200114,-0.0195973104542297,0.5510497442109715,0.3192122842349397,-0.3593778027714446,0.5373005522420332,-0.0181436387200114,-0.0195973104542297,-0.012465079698501,-0.0121100261551384,1.5005
-0.0136620875883499,-0.0104784438168366,-0.0202434705562256,-0.0172266394766557,-0.3122428584665073,0.5664898170535048,0.5762372542059025,0.2715703366719926,-0.0202434705562256,-0.0172266394766557,-0.0136620875883499,-0.0104784438168366,0.5762372542059025,0.2715703366719926,-0.3122428584665073,0.5664898170535048,-0.3122428584665073,0.5664898170535048,0.5762372542059025,0.2715703366719926,-0.0136620875883499,-0.0104784438168366,-0.0202434705562256,-0.0172266394766557,0.5762372542059025,0.2715703366719926,-0.3122428584665073,0.5664898170535048,-0.0202434705562256,-0.0172266394766557,-0.0136620875883499,-0.0104784438168366,1.5006
-0.0146397389474937,-0.0087409958367864,-0.0220335788888135,-0.0146458885170567,-0.2627225720118758,0.5915293988792943,0.5973382337037865,0.2219589079181799,-0.0220335788888135,-0.0146458885170567,-0.0146397389474937,-0.0087409958367864,0.5973382337037865,0.2219589079181799,-0.2627225720118758,0.5915293988792943,-0.2627225720118758,0.5915293988792943,0.5973382337037865,0.2219589079181799,-0.0146397389474937,-0.0087409958367864,-0.0220335788888135,-0.0146458885170567,0.5973382337037865,0.2219589079181799,-0.2627225720118758,0.5915293988792943,-0.0220335788888135,-0.0146458885170567,-0.0146397389474937,-0.0087409958367864,1.5007
-0.0153924318153172,-0.0069273796400982,-0.0234967044387413,-0.0118955886516327,-0.2111867798664092,0.612220592808075,0.6141985081237333,0.1707233734199658,-0.0234967044387413,-0.0118955886516327,-0.0153924318153172,-0.0069273796400982,0.6141985081237333,0.1707233734199658,-0.2111867798664092,0.612220592808075,-0.2111867798664092,0.612220592808075,0.6141985081237333,0.1707233734199658,-0.0153924318153172,-0.0069273796400982,-0.0234967044387413,-0.0118955886516327,0.6141985081237333,0.1707233734199658,-0.2111867798664092,0.612220592808075,-0.0234967044387413,-0.0118955886516327,-0.0153924318153172,-0.0069273796400982,1.5008
-0.0159186517874791,-0.0050664025759728,-0.0246208986786772,-0.0090165914908689,-0.1580226324454509,0.6283989059760029,0.6266921857296656,0.118221804685583,-0.0246208986786772,-0.0090165914908689,-0.0159186517874791,-0.0050664025759728,0.6266921857296656,0.118221804685583,-0.1580226324454509,0.6283989059760029,-0.1580226324454509,0.6283989059760029,0.6266921857296656,0.118221804685583,-0.0159186517874791,-0.0050664025759728,-0.0246208986786772,-0.0090165914908689,0.6266921857296656,0.118221804685583,-0.1580226324454509,0.6283989059760029,-0.0246208986786772,-0.0090165914908689,-0.0159186517874791,-0.0050664025759728,1.5009
