s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
0.0102153123704778,-0.004626075228886,0.0254953422096562,-0.0049391516021433,-0.0995980046885001,0.6442880647996019,0.6342164049932046,0.0726085765280663,0.0254953422096562,-0.0049391516021433,0.0102153123704778,-0.004626075228886,0.6342164049932046,0.0726085765280663,-0.0995980046885001,0.6442880647996019,-0.0995980046885001,0.6442880647996019,0.6342164049932046,0.0726085765280663,0.0102153123704778,-0.004626075228886,0.0254953422096562,-0.0049391516021433,0.6342164049932046,0.0726085765280663,-0.0995980046885001,0.6442880647996019,0.0254953422096562,-0.0049391516021433,0.0102153123704778,-0.004626075228886,1.26
0.0088968822721609,-0.0066687827427621,0.0237414178923462,-0.0102290317044492,-0.0014180157401478,0.6522120977901139,0.6385423200457044,-0.0229682581572134,0.0237414178923462,-0.0102290317044492,0.0088968822721609,-0.0066687827427621,0.6385423200457044,-0.0229682581572134,-0.0014180157401478,0.6522120977901139,-0.0014180157401478,0.6522120977901139,0.6385423200457044,-0.0229682581572134,0.0088968822721609,-0.0066687827427621,0.0237414178923462,-0.0102290317044492,0.6385423200457044,-0.0229682581572134,-0.0014180157401478,0.6522120977901139,0.0237414178923462,-0.0102290317044492,0.0088968822721609,-0.0066687827427621,1.2601
0.0072100536953692,-0.0083825847806805,0.0208986828218981,-0.014987535423023,0.0968717319735014,0.6451962302694509,0.6285634731720199,-0.1182599994686383,0.0208986828218981,-0.014987535423023,0.0072100536953692,-0.0083825847806805,0.6285634731720199,-0.1182599994686383,0.0968717319735014,0.6451962302694509,0.0968717319735014,0.6451962302694509,0.6285634731720199,-0.1182599994686383,0.0072100536953692,-0.0083825847806805,0.0208986828218981,-0.014987535423023,0.6285634731720199,-0.1182599994686383,0.0968717319735014,0.6451962302694509,0.0208986828218981,-0.014987535423023,0.0072100536953692,-0.0083825847806805,1.2602
0.0052422740033237,-0.0097002524480766,0.0171312306193993,-0.0189850553135417,0.1929827037522687,0.623395461235806,0.6044363822986949,-0.2111340696104821,0.0171312306193993,-0.0189850553135417,0.0052422740033237,-0.0097002524480766,0.6044363822986949,-0.2111340696104821,0.1929827037522687,0.623395461235806,0.1929827037522687,0.623395461235806,0.6044363822986949,-0.2111340696104821,0.0052422740033237,-0.0097002524480766,0.0171312306193993,-0.0189850553135417,0.6044363822986949,-0.2111340696104821,0.1929827037522687,0.623395461235806,0.0171312306193993,-0.0189850553135417,0.0052422740033237,-0.0097002524480766,1.2603
0.0030826810700641,-0.010598733879627,0.0126419433174892,-0.0220654887171248,0.2846966332925991,0.5873248379564544,0.5666539829020381,-0.299489649360768,0.0126419433174892,-0.0220654887171248,0.0030826810700641,-0.010598733879627,0.5666539829020381,-0.299489649360768,0.2846966332925991,0.5873248379564544,0.2846966332925991,0.5873248379564544,0.5666539829020381,-0.299489649360768,0.0030826810700641,-0.010598733879627,0.0126419433174892,-0.0220654887171248,0.5666539829020381,-0.299489649360768,0.2846966332925991,0.5873248379564544,0.0126419433174892,-0.0220654887171248,0.0030826810700641,-0.010598733879627,1.2604
0.0007955905423494,-0.0110554189313594,0.0076338304867597,-0.0241097923554952,0.3699046633243446,0.5378125172269549,0.5160203426652621,-0.3813380878515704,0.0076338304867597,-0.0241097923554952,0.0007955905423494,-0.0110554189313594,0.5160203426652621,-0.3813380878515704,0.3699046633243446,0.5378125172269549,0.3699046633243446,0.5378125172269549,0.5160203426652621,-0.3813380878515704,0.0007955905423494,-0.0110554189313594,0.0076338304867597,-0.0241097923554952,0.5160203426652621,-0.3813380878515704,0.3699046633243446,0.5378125172269549,0.0076338304867597,-0.0241097923554952,0.0007955905423494,-0.0110554189313594,1.2605
-0.0015290007279597,-0.0110372122272293,0.0023484846374691,-0.0250276419928541,0.4466278447936656,0.4760044638783202,0.4536044897869758,-0.4548210177432747,0.0023484846374691,-0.0250276419928541,-0.0015290007279597,-0.0110372122272293,0.4536044897869758,-0.4548210177432747,0.4466278447936656,0.4760044638783202,0.4466278447936656,0.4760044638783202,0.4536044897869758,-0.4548210177432747,-0.0015290007279597,-0.0110372122272293,0.0023484846374691,-0.0250276419928541,0.4536044897869758,-0.4548210177432747,0.4466278447936656,0.4760044638783202,0.0023484846374691,-0.0250276419928541,-0.0015290007279597,-0.0110372122272293,1.2606
-0.0037821813847483,-0.0105571375548995,-0.0029516633444883,-0.0248128915213816,0.513100476530889,0.4033610681872908,0.380755302690477,-0.5182260335666943,-0.0029516633444883,-0.0248128915213816,-0.0037821813847483,-0.0105571375548995,0.380755302690477,-0.5182260335666943,0.513100476530889,0.4033610681872908,0.513100476530889,0.4033610681872908,0.380755302690477,-0.5182260335666943,-0.0037821813847483,-0.0105571375548995,-0.0029516633444883,-0.0248128915213816,0.380755302690477,-0.5182260335666943,0.513100476530889,0.4033610681872908,-0.0029516633444883,-0.0248128915213816,-0.0037821813847483,-0.0105571375548995,1.2607
-0.005893280103423,-0.0096519886649187,-0.0080491551957481,-0.0235172773622446,0.5678300675024184,0.321575423129368,0.2990940033882713,-0.5700701308178159,-0.0080491551957481,-0.0235172773622446,-0.005893280103423,-0.0096519886649187,0.2990940033882713,-0.5700701308178159,0.5678300675024184,0.321575423129368,0.5678300675024184,0.321575423129368,0.2990940033882713,-0.5700701308178159,-0.005893280103423,-0.0096519886649187,-0.0080491551957481,-0.0235172773622446,0.2990940033882713,-0.5700701308178159,0.5678300675024184,0.321575423129368,-0.0080491551957481,-0.0235172773622446,-0.005893280103423,-0.0096519886649187,1.2608
-0.007791175228329,-0.0083344033591677,-0.0127388630594562,-0.0211975592451252,0.6095789837947256,0.2325227238694296,0.2104305508700094,-0.6091440904577329,-0.0127388630594562,-0.0211975592451252,-0.007791175228329,-0.0083344033591677,0.2104305508700094,-0.6091440904577329,0.6095789837947256,0.2325227238694296,0.6095789837947256,0.2325227238694296,0.2104305508700094,-0.6091440904577329,-0.007791175228329,-0.0083344033591677,-0.0127388630594562,-0.0211975592451252,0.2104305508700094,-0.6091440904577329,0.6095789837947256,0.2325227238694296,-0.0127388630594562,-0.0211975592451252,-0.007791175228329,-0.0083344033591677,1.2609
