s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0178293368918607,0.0033237113959718,0.6919205410752799,0.0226875224430433,0.6919179368761877,0.0226953741387148,0.6891027245455948,0.0203349949689619,-0.0379829492275647,0.0734525383824957,0.0164379674490705,-0.0701642472365914,0.6891027245455948,0.0203349949689619,0.0164379674490705,-0.0701642472365914,-0.0379829492275647,0.0734525383824957,1.5
-0.0174664025273851,0.0030593686660417,0.6909286170981904,-0.0440793838109397,0.6909268015747716,-0.0440713409509362,0.6880248143732636,-0.0461280560328901,-0.0283497018075524,0.0752495683046101,0.0072203307499828,-0.0717394993416931,0.6880248143732636,-0.0461280560328901,0.0072203307499828,-0.0717394993416931,-0.0283497018075524,0.0752495683046101,1.5001
-0.0171411018697437,0.0027506457086375,0.6835088393479688,-0.110433978045869,0.6835078245799071,-0.1104258240796221,0.6805502182513053,-0.1122009321047065,-0.0185580163049029,0.0757843664374562,-0.0021290043857651,-0.0721092697447847,0.6805502182513053,-0.1122009321047065,-0.0021290043857651,-0.0721092697447847,-0.0185580163049029,0.0757843664374562,1.5002
-0.0168587676327894,0.0024028713309858,0.669732441660365,-0.1757588929016277,0.6697322314129196,-0.1757507083382297,0.6667413616890348,-0.1772687649249044,-0.0087725641245009,0.0750457846720543,-0.0114530583065671,-0.0712656307437124,0.6667413616890348,-0.1772687649249044,-0.0114530583065671,-0.0712656307437124,-0.0087725641245009,0.0750457846720543,1.5003
-0.0166239911060254,0.0020220030323392,0.649729820070239,-0.2394467556179461,0.6497304098873414,-0.2394386205166254,0.6467198851892675,-0.2407243655083959,0.0008416386920199,0.0730440845429199,-0.0205949081172886,-0.0692210257820225,0.6467198851892675,-0.2407243655083959,-0.0205949081172886,-0.0692210257820225,0.0008416386920199,0.0730440845429199,1.5004
-0.0164405486731529,0.0016145258468706,0.6236892584613487,-0.3009058478287424,0.6236906357416173,-0.3008978409315387,0.6206659131466942,-0.3019739921914627,0.0101220131922654,0.0698108726652408,-0.0294003288250342,-0.0660081505514018,0.6206659131466942,-0.3019739921914627,-0.0294003288250342,-0.0660081505514018,0.0101220131922654,0.0698108726652408,1.5005
-0.016311342310818,0.0011873426181385,0.5918551124415519,-0.3595656116700055,0.5918572567437235,-0.3595578095487378,0.5888167403316943,-0.360443086426406,0.0189111855103499,0.0653986724298441,-0.0377204120800205,-0.0616794896666858,0.5888167403316943,-0.360443086426406,-0.0377204120800205,-0.0616794896666858,0.0189111855103499,0.0653986724298441,1.5006
-0.0162383545409294,0.0007476575345251,0.554525469938499,-0.4148819497618093,0.5545283532626696,-0.4148744260070987,0.5514649268926688,-0.4155819121224103,0.0270596919666061,0.0598801323848619,-0.0454141166504894,-0.0563065108932147,0.5514649268926688,-0.4155819121224103,-0.0454141166504894,-0.0563065108932147,0.0270596919666061,0.0598801323848619,1.5007
-0.0162226185263751,0.0003028548388465,0.5120493114281199,-0.466342269142329,0.5120528987100489,-0.4663350936188852,0.5089558016388923,-0.4668710300622975,0.0344285723566038,0.0533468786986317,-0.0523507044308656,-0.0499785253387836,0.5089558016388923,-0.4668710300622975,-0.0523507044308656,-0.0499785253387836,0.0344285723566038,0.0533468786986317,1.5008
-0.0162642041911566,-0.000139625321661,0.4648231977144083,-0.5134702219622292,0.4648274472859284,-0.5134634601119554,0.4616843831208889,-0.5138265369666551,0.0408918025771336,0.0459080261810798,-0.0584120164915206,-0.0428012286926954,0.4616843831208889,-0.5138265369666551,-0.0584120164915206,-0.0428012286926954,0.0408918025771336,0.0459080261810798,1.5009
