s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0002781590370662,0.005183453741395,0.1631241144857021,0.1414500155786014,0.1631241144857021,0.1414500155786014,-0.0002781590370662,0.005183453741395,1.2611
-0.0002241716328908,0.0052196431368811,0.1649067910840119,0.1403385102071696,0.1649067910840119,0.1403385102071696,-0.0002241716328908,0.0052196431368811,1.2612
-0.0001686391532279,0.0052555677723864,0.1666849421031602,0.1392067181443062,0.1666849421031602,0.1392067181443062,-0.0001686391532279,0.0052555677723864,1.2613
-0.0001114323525462,0.0052911421029044,0.1684583761154599,0.1380545922532069,0.1684583761154599,0.1380545922532069,-0.0001114323525462,0.0052911421029044,1.2614
-5.244956717990744e-05,0.0053262352463306,0.1702268955080262,0.1368820815113118,0.1702268955080262,0.1368820815113118,-5.244956717990744e-05,0.0053262352463306,1.2615
8.36932132841517e-06,0.0053606831138236,0.1719902948324087,0.1356891330634512,0.1719902948324087,0.1356891330634512,8.36932132841517e-06,0.0053606831138236,1.2616
7.103396259937052e-05,0.0053943045610823,0.17374835995807,0.1344756947148585,0.17374835995807,0.1344756947148585,7.103396259937052e-05,0.0053943045610823,1.2617
0.00013550071007,0.0054269195785823,0.1755008681289253,0.1332417175599252,0.1755008681289253,0.1332417175599252,0.00013550071007,0.0054269195785823,1.2618
0.0002016762018512,0.005458367302542,0.1772475889112642,0.1319871584281181,0.1772475889112642,0.1319871584281181,0.0002016762018512,0.005458367302542,1.2619
0.0002694268814132,0.0054885216633229,0.1789882859130295,0.1307119818530797,0.1789882859130295,0.1307119818530797,0.0002694268814132,0.0054885216633229,1.262
0.0003385932714775,0.0055173027870692,0.1807227190610653,0.1294161613311212,0.1807227190610653,0.1294161613311212,0.0003385932714775,0.0055173027870692,1.2621
0.0004090072459254,0.0055446827925604,0.1824506471568622,0.1280996797234298,0.1824506471568622,0.1280996797234298,0.0004090072459254,0.0055446827925604,1.2622
0.0004805101905178,0.0055706853125209,0.1841718303990233,0.1267625287617842,0.1841718303990233,0.1267625287617842,0.0004805101905178,0.0055706853125209,1.2623
