wavelength (nm),refractive index
699.726196,1.460554
701.314758,1.460516
702.903198,1.460479
704.491577,1.460442
706.079773,1.460405
707.667908,1.460368
709.255981,1.460331
710.843933,1.460295
712.431763,1.460259
714.019592,1.460223
715.607239,1.460187
717.194824,1.460151
718.782288,1.460116
720.369629,1.460081
721.956909,1.460045
723.544067,1.46001
725.131165,1.459974
726.71814,1.45994
728.304993,1.459905
729.891724,1.459871
731.478394,1.459836
733.065002,1.459802
734.651428,1.459768
736.237793,1.459735
737.824036,1.459701
739.410217,1.459667
740.996216,1.459634
742.582153,1.459601
744.16803,1.459568
745.753723,1.459535
747.339355,1.459502
748.924866,1.459469
750.510254,1.459437
752.095581,1.459404
753.680786,1.459372
755.265808,1.45934
756.850769,1.459308
758.435669,1.459276
760.020386,1.459244
761.605042,1.459213
763.189575,1.459181
764.773987,1.459149
766.358276,1.459118
767.942505,1.459087
769.52655,1.459056
771.110535,1.459025
772.694397,1.458995
774.278137,1.458964
775.861755,1.458933
777.445251,1.458903
779.028687,1.458872
780.611938,1.458842
782.195068,1.458812
783.778137,1.458782
785.361084,1.458753
786.943909,1.458723
788.52655,1.458693
790.109131,1.458663
791.691589,1.458634
793.273926,1.458605
794.85614,1.458576
796.438232,1.458547
798.020203,1.458518
799.602112,1.458489
801.183777,1.458461
802.765442,1.458432
804.346924,1.458403
805.928284,1.458375
807.509521,1.458346
809.090637,1.458318
810.671631,1.458289
812.252502,1.458261
813.833252,1.458233
815.413879,1.458206
816.994324,1.458178
818.574707,1.45815
820.154968,1.458122
821.735046,1.458095
823.315063,1.458067
824.894897,1.45804
826.474609,1.458012
828.054199,1.457985
829.633667,1.457958
831.213074,1.457931
832.792297,1.457904
834.371399,1.457878
835.950317,1.457851
837.529114,1.457824
839.107788,1.457798
840.68634,1.457771
842.264771,1.457744
843.843079,1.457718
845.421204,1.457692
846.999207,1.457666
848.577026,1.457639
850.154907,1.457613
851.732422,1.457587
853.309937,1.457561
854.887329,1.457536
856.464478,1.45751
858.041504,1.457484
859.618469,1.457458
861.19519,1.457433
862.771851,1.457407
864.34845,1.457382
865.924805,1.457356
867.500977,1.457331
869.077026,1.457306
870.653015,1.457281
872.228821,1.457256
873.804504,1.457231
875.380066,1.457206
876.955383,1.457181
878.53064,1.457156
880.105774,1.457131
881.680664,1.457107
883.255493,1.457082
884.8302,1.457057
886.404663,1.457032
887.979004,1.457008
889.553223,1.456984
891.127319,1.45696
892.701294,1.456935
894.275024,1.456911
895.848633,1.456887
897.42218,1.456862
898.995483,1.456838
900.568665,1.456815
902.141724,1.456791
903.714661,1.456767
905.287292,1.456743
906.859985,1.456719
908.432312,1.456696
910.0047,1.456672
911.576782,1.456648
913.148743,1.456624
914.720581,1.456601
916.292297,1.456577
917.86377,1.456554
919.435181,1.456531
921.006348,1.456507
922.577332,1.456484
924.148254,1.456461
925.719055,1.456438
927.289551,1.456415
928.859985,1.456392
930.430298,1.456369
932.000366,1.456346
933.570313,1.456323
935.140137,1.4563
936.709778,1.456277
938.279175,1.456254
939.848511,1.456231
941.417664,1.456209
942.986633,1.456186
944.555481,1.456163
946.124146,1.45614
947.692688,1.456118
949.261047,1.456095
950.829224,1.456073
952.397156,1.456051
953.965027,1.456028
955.532715,1.456006
957.10022,1.455984
958.667603,1.455962
960.234741,1.455939
961.801758,1.455917
963.368652,1.455895
964.935364,1.455873
966.501831,1.455851
968.068176,1.455829
969.634399,1.455807
971.200378,1.455785
972.766235,1.455763
974.331848,1.455741
975.897339,1.455719
977.462708,1.455697
979.027832,1.455675
980.592896,1.455654
982.157715,1.455632
983.72229,1.455611
985.286804,1.455589
986.851074,1.455567
988.415222,1.455546
989.979126,1.455524
991.542847,1.455502
993.106567,1.455481
994.669922,1.455459
996.233215,1.455438
997.796204,1.455416
999.35907,1.455395
1012.235474,1.45522
1015.648315,1.455174
1019.061523,1.455128
1022.474915,1.455082
1025.88855,1.455036
1029.302368,1.454991
1032.716431,1.454945
1036.130615,1.4549
1039.545166,1.454855
1042.959961,1.454809
1046.374878,1.454764
1049.790039,1.454719
1053.205322,1.454674
1056.620972,1.454629
1060.036865,1.454584
1063.452881,1.45454
1066.869263,1.454495
1070.285767,1.454451
1073.702393,1.454406
1077.119385,1.454362
1080.536743,1.454318
1083.954102,1.454274
1087.371826,1.454229
1090.789673,1.454185
1094.207764,1.454141
1097.626221,1.454097
1101.0448,1.454053
1104.463623,1.454009
1107.88269,1.453966
1111.302002,1.453922
1114.721558,1.453878
1118.141357,1.453834
1121.561279,1.453791
1124.981689,1.453747
1128.4021,1.453704
1131.822876,1.45366
1135.243896,1.453617
1138.665161,1.453574
1142.08667,1.45353
1145.508301,1.453487
1148.930298,1.453443
1152.352417,1.4534
1155.774902,1.453357
1159.19751,1.453314
1162.620483,1.453271
1166.043701,1.453228
1169.467163,1.453184
1172.890869,1.453141
1176.314819,1.453098
1179.739014,1.453055
1183.163452,1.453012
1186.588135,1.45297
1190.013062,1.452927
1193.438232,1.452884
1196.86377,1.452841
1200.289429,1.452798
1203.715454,1.452755
1207.141602,1.452712
1210.568115,1.452669
1213.994873,1.452626
1217.421875,1.452583
1220.849121,1.452541
1224.276611,1.452498
1227.704346,1.452455
1231.132446,1.452412
1234.560791,1.45237
1237.989258,1.452327
1241.418213,1.452284
1244.847168,1.452241
1248.276611,1.452198
1251.706177,1.452155
1255.135986,1.452113
1258.566162,1.45207
1261.996704,1.452027
1265.427368,1.451984
1268.858276,1.451942
1272.289551,1.451899
1275.721069,1.451856
1279.152832,1.451813
1282.584839,1.45177
1286.017212,1.451727
1289.449829,1.451685
1292.882568,1.451642
1296.315796,1.451599
1299.749268,1.451556
1303.182861,1.451513
1306.616943,1.45147
1310.051147,1.451427
1313.485596,1.451384
1316.920532,1.451341
1320.355591,1.451298
1323.790894,1.451255
1327.226563,1.451212
1330.662476,1.451169
1334.098755,1.451126
1337.535278,1.451082
1340.971924,1.451039
1344.409058,1.450996
1347.846436,1.450953
1351.284058,1.45091
1354.721924,1.450866
1358.160278,1.450823
1361.598755,1.45078
1365.037476,1.450737
1368.476563,1.450693
1371.916016,1.45065
1375.355713,1.450606
1378.795654,1.450563
1382.23584,1.450519
1385.676392,1.450476
1389.11731,1.450432
1392.55835,1.450389
1395.999756,1.450345
1399.441528,1.450301
1402.883545,1.450258
1406.325928,1.450214
1409.768555,1.45017
1413.211426,1.450127
1416.654663,1.450083
1420.098145,1.450039
1423.541992,1.449995
1426.986084,1.449951
1430.430542,1.449907
1433.875244,1.449863
1437.320313,1.449819
1440.765747,1.449775
1444.211304,1.449731
1447.657349,1.449687
1451.103516,1.449642
1454.550049,1.449598
1457.996948,1.449554
1461.444092,1.449509
1464.891724,1.449465
1468.339478,1.44942
1471.787598,1.449376
1475.236084,1.449331
1478.684814,1.449287
1482.133911,1.449242
1485.583252,1.449197
1489.032959,1.449152
1492.48291,1.449107
1495.933228,1.449062
1499.383911,1.449017
1502.834839,1.448972
1506.286133,1.448927
1509.737671,1.448882
1513.189697,1.448837
1516.641846,1.448792
1520.094482,1.448747
1523.547241,1.448702
1527.000488,1.448657
1530.453979,1.448611
1533.907959,1.448566
1537.362061,1.44852
1540.81665,1.448475
1544.271362,1.448429
1547.726563,1.448383
1551.182007,1.448337
1554.637939,1.448292
1558.093994,1.448246
1561.550537,1.4482
1565.007202,1.448154
1568.464478,1.448108
1571.921875,1.448062
1575.379639,1.448016
1578.837769,1.44797
1582.296265,1.447924
1585.755127,1.447877
1589.214233,1.447831
1592.673706,1.447785
1596.133545,1.447738
1599.593628,1.447691
1603.054199,1.447645
1606.515015,1.447598
1609.976196,1.447552
1613.437744,1.447505
1616.899536,1.447458
1620.361694,1.44741
1623.824219,1.447363
1627.287109,1.447316
1630.750366,1.447269
1634.213989,1.447222
1637.677856,1.447175
1641.142212,1.447127
1644.606689,1.44708
1648.071655,1.447033
1651.536865,1.446986
1655.002686,1.446938
1658.46875,1.44689
1661.934937,1.446842
1665.401733,1.446795
1668.868774,1.446747
1672.336182,1.446699
1675.803955,1.446651
1679.272095,1.446603
1682.740601,1.446555
1686.209351,1.446507
1689.678711,1.446458
1693.148193,1.44641
1696.618164,1.446362
