s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0182251109731546,0.0039997461316043,0.1488611375401015,0.6799405572371962,0.1492765790511223,0.6798502702289101,0.1512581495151793,0.6677366291374092,-0.1008688977034115,0.0273332028642685,0.0795169297690784,-0.0260534023605981,0.1512581495151793,0.6677366291374092,0.0795169297690784,-0.0260534023605981,-0.1008688977034115,0.0273332028642685,1.26
-0.0174046500245932,0.003951141590944,0.271471617074574,0.6409659995238446,0.2718633289413317,0.6408008377327639,0.2714078621244215,0.6287108937605713,-0.0919170392635538,0.0467940563757977,0.0708659885656079,-0.0446137566758038,0.2714078621244215,0.6287108937605713,0.0708659885656079,-0.0446137566758038,-0.0919170392635538,0.0467940563757977,1.2601
-0.01662093643867,0.0037108161107948,0.3848034416463778,0.5801021093048657,0.3851580752563371,0.5798677312979326,0.3824035131876522,0.5683058735653204,-0.078493128591895,0.0635228094926665,0.0579553175689017,-0.0605358555221899,0.3824035131876522,0.5683058735653204,0.0579553175689017,-0.0605358555221899,-0.078493128591895,0.0635228094926665,1.2602
-0.0159184630485246,0.0032941749755965,0.4849915476628593,0.4994351672769142,0.4852970262761085,0.4991395807820889,0.4804870608440107,0.4885327100674803,-0.0613865468103571,0.0765097413436519,0.0415463193872739,-0.0728594736625176,0.4804870608440107,0.4885327100674803,0.0415463193872739,-0.0728594736625176,-0.0613865468103571,0.0765097413436519,1.2603
-0.0153364097850942,0.0027266951331336,0.5686220216039318,0.4017256427112506,0.5688679469797572,0.4013789306863778,0.5623164225944308,0.3920558119284578,-0.0416108795072808,0.0849638485787831,0.0226131180682699,-0.080835179012366,0.5623164225944308,0.3920558119284578,0.0226131180682699,-0.080835179012366,-0.0416108795072808,0.0849638485787831,1.2604
-0.014906447077809,0.0020422725460421,0.6328481315430687,0.2903134161575945,0.6330261337258576,0.2899273940897108,0.6250789353466186,0.282113300399839,-0.0203454439063756,0.0883621276083035,0.0022862301799057,-0.0839709304466815,0.6250789353466186,0.282113300399839,0.0022862301799057,-0.0839709304466815,-0.0203454439063756,0.0883621276083035,1.2605
-0.0146510194303343,0.0012811161975017,0.6754868894490177,0.1690033112595178,0.6755909085349819,0.1685911269689751,0.6665916463157849,0.1624169624066826,0.0011341485845899,0.0864837377559635,-0.0182140808870483,-0.0820641121174369,0.6665916463157849,0.1624169624066826,-0.0182140808870483,-0.0820641121174369,0.0011341485845899,0.0864837377559635,1.2606
-0.0145821944546834,0.0004873210554317,0.6950928440571478,0.0419348695066172,0.6951193347547617,0.0415105584647186,0.6853841588848055,0.0370331336048391,0.0215326060607413,0.0794264342816858,-0.0376511169206324,-0.0752165614308619,0.6853841588848055,0.0370331336048391,-0.0376511169206324,-0.0752165614308619,0.0215326060607413,0.0794264342816858,1.2607
-0.0147011281146101,-0.0002937347044259,0.6910065928528663,-0.0865591491443329,0.6909546450197727,-0.0869811385523393,0.680759583300032,-0.0897528770891131,0.0396142262563978,0.0676035891638874,-0.0548473908215427,-0.0638310439697756,0.680759583300032,-0.0897528770891131,-0.0548473908215427,-0.0638310439697756,0.0396142262563978,0.0676035891638874,1.2608
-0.0149981613350952,-0.001018018014237,0.6633763822583242,-0.212100665315497,0.6632477531937168,-0.2125059611755089,0.6528294111626151,-0.2135848257692985,0.0542798039847301,0.0517213043690358,-0.0687578165995176,-0.0485887655354675,0.6528294111626151,-0.2135848257692985,-0.0687578165995176,-0.0485887655354675,0.0542798039847301,0.0517213043690358,1.2609
